iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_family,layer_interdependences_friends,layer_interdependences_neighbours,layer_interdependences_religion,layer_interdependences_cultural,layer_polarisations_family,layer_polarisations_friends,layer_polarisations_neighbours,layer_polarisations_religion,layer_polarisations_cultural
74,-0.021916373411541897,19,1503,1509,0.4780358009429998,0.19580259794351376,0.1910082003429847,0.22206168706579088,0.17223433618942077,0.21889317845828843,0.47988311346822304,0.47988311346822304,0.47988311346822304,0.47988311346822304,0.47988311346822304
75,-0.00787989007392025,19,1523,1524,0.4780358009429998,0.19556880860142817,0.1910579833104603,0.22270917012980454,0.17106350930954467,0.21960052864876597,0.46450745515013786,0.46450745515013786,0.46450745515013786,0.46450745515013786,0.46450745515013786
76,-0.025501223823365095,19,1539,1540,0.4780358009429998,0.19610385644548728,0.1907083211340732,0.22224885196584643,0.17187350659035008,0.21906546386424158,0.4754687547792055,0.4754687547792055,0.4754687547792055,0.4754687547792055,0.4754687547792055
77,-0.0829522484778474,19,1560,1556,0.4780358009429998,0.19231895768420457,0.19202226372121806,0.22324508693274886,0.1717521246826915,0.22066156697913897,0.43765650272846834,0.43765650272846834,0.43765650272846834,0.43765650272846834,0.43765650272846834
78,-0.08526853647006367,19,1579,1572,0.4780358009429998,0.19667643735851323,0.19218846599613826,0.2256241679594965,0.1693940750204947,0.2161168536653564,0.40628865172924467,0.40628865172924467,0.40628865172924467,0.40628865172924467,0.40628865172924467
79,-0.2079944295786082,19,1597,1587,0.4780358009429998,0.19581809670570474,0.19232912377504371,0.22681879492885995,0.16804111312566816,0.2169928714647287,0.38088353349410464,0.38088353349410464,0.38088353349410464,0.38088353349410464,0.38088353349410464
80,-0.047504308883597926,19,1613,1603,0.4780358009429998,0.19690985123271945,0.19238286191512644,0.22608288898035458,0.1701832457113931,0.2144411521604102,0.382017845055965,0.382017845055965,0.382017845055965,0.382017845055965,0.382017845055965
81,-0.18124792455819183,19,1629,1620,0.4780358009429998,0.19579214541621626,0.19269919324140591,0.22640357261079344,0.16990158882017856,0.21520349991140988,0.3718062112135921,0.3718062112135921,0.3718062112135921,0.3718062112135921,0.3718062112135921
82,-0.07034447728927054,19,1643,1635,0.4780358009429998,0.19520859498452248,0.1930692366300038,0.22626318768426246,0.17099186739767597,0.21446711330353646,0.3501281321940527,0.3501281321940527,0.3501281321940527,0.3501281321940527,0.3501281321940527
83,-0.17724045308384273,19,1659,1652,0.4780358009429998,0.1953164537657677,0.19300042558299643,0.2251931721854807,0.17122124224928723,0.21526870621647462,0.3471938046516612,0.3471938046516612,0.3471938046516612,0.3471938046516612,0.3471938046516612
