iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_A,layer_interdependences_B,layer_interdependences_C,layer_interdependences_D,layer_polarisations_A,layer_polarisations_B,layer_polarisations_C,layer_polarisations_D
78,0.03536539050179737,75,666,1520,1.3862943611198906,0.25384430651712053,0.2501557211247149,0.2469811523204322,0.2490188200377313,0.38929282654840813,0.38929282654840813,0.38929282654840813,0.38929282654840813
79,0.04416488534049509,75,673,1531,1.3862943611198906,0.25326850141811025,0.2511864641351438,0.24526254727095775,0.25028248717578716,0.40488261220798544,0.40488261220798544,0.40488261220798544,0.40488261220798544
80,0.028814082608823965,75,676,1544,1.3862943611198906,0.25241572411090024,0.25044413976336516,0.24896949712796151,0.248170638997773,0.35175351091344287,0.35175351091344287,0.35175351091344287,0.35175351091344287
81,0.00019666141672176063,75,680,1554,1.3862943611198906,0.2514239808240187,0.25194109686523364,0.24742531925385652,0.2492096030568882,0.3510046611299498,0.3510046611299498,0.3510046611299498,0.3510046611299498
82,-0.009068986124066071,75,687,1567,1.3862943611198906,0.25219518085292486,0.2502000175205639,0.2475731908874248,0.2500316107390857,0.3433916017223383,0.3433916017223383,0.3433916017223383,0.3433916017223383
83,0.0024918026514741142,75,693,1576,1.3862943611198906,0.2505060778781085,0.25092978944984085,0.24705255237021126,0.25151158030184045,0.37569032802553837,0.37569032802553837,0.37569032802553837,0.37569032802553837
84,-0.0103482926645711,76,700,1589,1.4271163556401458,0.2504146386138186,0.24863537128788912,0.24839109640738183,0.2525588936909106,0.3672239203709901,0.3672239203709901,0.3672239203709901,0.3672239203709901
85,-0.005938964644436038,76,707,1602,1.4271163556401458,0.2520534436110266,0.2494649280518883,0.24743765196313627,0.251043976373945,0.36632640013572215,0.36632640013572215,0.36632640013572215,0.36632640013572215
86,0.020780255335614704,76,713,1614,1.4271163556401458,0.25063999348579796,0.2492380405867338,0.24836086827340725,0.2517610976540617,0.36988451581834,0.36988451581834,0.36988451581834,0.36988451581834
87,0.012043200730203835,76,722,1628,1.4271163556401458,0.2511834799069906,0.24871860951692318,0.2472088406599398,0.2528890699161446,0.3714366169909617,0.3714366169909617,0.3714366169909617,0.3714366169909617
88,0.029418202437744942,76,730,1641,1.4271163556401458,0.25173536483341186,0.24935051404168376,0.24660201059244508,0.2523121105324587,0.37044451369393316,0.37044451369393316,0.37044451369393316,0.37044451369393316
